cid,course_code,serial_no,course_name,department,reg_sel,credits,restrict,time,location,instructor,year,term,quota,authorize_quota,interschool_quota,english,dept_code,note
199,00UA759,0186,初級華語（一）,共同科,選,2,◎限外籍生修習◎第一階段需人工加選◎第二階段需人工加選◎加退選階段需人工加選,三 9-10,本部 誠204,未定,110,1,30,0,0,"",CU,""
200,00UA760,0187,中級華語（一）,共同科,選,2,◎限外籍生修習◎第一階段需人工加選◎第二階段需人工加選◎加退選階段需人工加選,三 A-B,本部 誠204,未定,110,1,30,0,0,"",CU,""
201,00UA761,0188,高級華語（一）,共同科,選,2,◎限外籍生修習◎第一階段需人工加選◎第二階段需人工加選◎加退選階段需人工加選,一 A-B,本部 誠205,未定,110,1,30,0,0,"",CU,""
202,00UA7A1,0189,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限工教系、科技系、圖傳系、機電系「　」、電機系、車能學位學程、音樂系、美術系選修,一 3-4,本部 正203,汪文祺,110,1,35,5,0,"",CU,""
203,00UA7A1,0190,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限工教系、科技系、圖傳系、機電系「　」、電機系、車能學位學程、音樂系、美術系選修,一 3-4,本部 正202,謝秀卉,110,1,35,5,0,"",CU,""
204,00UA7A1,0191,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限工教系、科技系、圖傳系、機電系「　」、電機系、車能學位學程、音樂系、美術系選修,一 3-4,本部 誠203,未定,110,1,35,5,0,"",CU,""
205,00UA7A1,0192,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限工教系、科技系、圖傳系、機電系「　」、電機系、車能學位學程、音樂系、美術系選修,一 3-4,本部 誠204,未定,110,1,35,5,0,"",CU,""
206,00UA7A1,0193,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限工教系、科技系、圖傳系、機電系「　」、電機系、車能學位學程、音樂系、美術系選修,一 3-4,本部 誠205,未定,110,1,35,5,0,"",CU,""
207,00UA7A1,0194,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限工教系、科技系、圖傳系、機電系「　」、電機系、車能學位學程、音樂系、美術系選修,一 3-4,本部 正201,未定,110,1,35,5,0,"",CU,""
208,00UA7A1,0195,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限工教系、科技系、圖傳系、機電系「　」、電機系、車能學位學程、音樂系、美術系選修,一 3-4,本部 正105,未定,110,1,35,5,0,"",CU,""
209,00UA7A1,0196,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限工教系、科技系、圖傳系、機電系「　」、電機系、車能學位學程、音樂系、美術系選修,一 3-4,本部 正204,未定,110,1,35,5,0,"",CU,""
210,00UA7A1,0197,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限工教系、科技系、圖傳系、機電系「　」、電機系、車能學位學程、音樂系、美術系選修,一 3-4,本部 正301,未定,110,1,35,5,0,"",CU,""
211,00UA7A1,0198,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限工教系、科技系、圖傳系、機電系「　」、電機系、車能學位學程、音樂系、美術系選修,一 3-4,本部 正304,未定,110,1,35,5,0,"",CU,""
212,00UA7A2,0199,中文閱讀與思辨,共同科,必,2,◎限大一修習,二 A-B,本部 誠106,曾暐傑,110,1,35,5,0,"",CU,不限學系
213,00UA7A2,0200,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限教育系、心輔系、社教系、學習科學學位學程、教院不分系、英語系、設計系選修,二 1-2,本部 正203,汪文祺,110,1,35,5,0,"",CU,""
214,00UA7A2,0201,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限教育系、心輔系、社教系、學習科學學位學程、教院不分系、英語系、設計系選修,二 1-2,本部 正401,謝秀卉,110,1,35,5,0,"",CU,""
215,00UA7A2,0202,中文閱讀與思辨,共同科,必,2,◎限大一修習◎限教育系、心輔系、社教系、學習科學學位學程、教院不分系、英語系、設計系選修,二 1-2,本部 正204,未定,110,1,35,5,0,"",CU,""
